record_id	doi	role	title	sha256	bytes	rel_path
17728016	10.5281/zenodo.17728016	NUCLEO_MCC	El Método de Calibración Contextual como Práctica de Soberanía Cognitiva	ab1629abfdd1890f48f505623a515d323e45daab2d477c44da7cc3101f514055	362670	corpus/andamiaje_propio/zenodo/17728016/17728016_El_Método_de_Calibración_Contextual_como_Práctica_de_Soberanía_Cognitiva.pdf
21500800	10.5281/zenodo.21500800	NUCLEO_MCC	MCC -- Protocolo de Calibracion Contextual para la Gramatica Computacional	dcc3d7a9f6c8eea7d08dcf6cab83c58bb03310530ad744d2184a98d830217993	30988	corpus/andamiaje_propio/zenodo/21500800/21500800_MCC_--_Protocolo_de_Calibracion_Contextual_para_la_Gramatica_Computacional.pdf
18800211	10.5281/zenodo.18800211	SATELITE_MCC	La Grieta Generativa	9aee0dc62b0a49469e02af09c98fa418759aad3d9c3add41a6d126c16a821f00	107813	corpus/andamiaje_propio/zenodo/18800211/18800211_La_Grieta_Generativa.pdf
19932561	10.5281/zenodo.19932561	SATELITE_MCC	Certeza sin sustancia	69d30e3e0052e7f1e81d4ee59b0253746f26be4788f69acb715d49b1d41e444b	75047	corpus/andamiaje_propio/zenodo/19932561/19932561_Certeza_sin_sustancia.pdf
17587819	10.5281/zenodo.17587819	TEKTRON	La Colonización de la Gramática y el Olvido Estructural	d2350e37dc938739e3d840f2812ea9a9f8154673c3ec3bd5777db4720d78ee1e	209336	corpus/andamiaje_propio/zenodo/17587819/17587819_La_Colonización_de_la_Gramática_y_el_Olvido_Estructural.pdf
17705442	10.5281/zenodo.17705442	TEKTRON	MANUAL PARA LA SOBERANÍA COGNITIVA	072449c99c0cb9720fb21b60b8ee989bc4c49db3ded72bcb22cf2e5ccea8db47	162734	corpus/andamiaje_propio/zenodo/17705442/17705442_MANUAL_PARA_LA_SOBERANÍA_COGNITIVA.pdf
18324469	10.5281/zenodo.18324469	TEKTRON	Código Fuente del Sexto Sol	0ad827fc45772c2fe8e7ec11c0ddf4b4f690f94542a6b7937ea4f196fa65a2d9	134580	corpus/andamiaje_propio/zenodo/18324469/18324469_Código_Fuente_del_Sexto_Sol.pdf
18491987	10.5281/zenodo.18491987	TEKTRON	SOBERANÍA COGNITIVA Y NEURODERECHOS	affccc2bc6ff29c6f86ea0a168686ce4ea1c1e8cae13e884bae19c5e653c9d0c	586284	corpus/andamiaje_propio/zenodo/18491987/18491987_SOBERANÍA_COGNITIVA_Y_NEURODERECHOS.pdf
18492979	10.5281/zenodo.18492979	TEKTRON	IA de Borde como Insurgencia Epistemológica	29d87ca348db65c2235ddeca57d65bb89dec7bfab38d522c7f786111833d19ae	470809	corpus/andamiaje_propio/zenodo/18492979/18492979_IA_de_Borde_como_Insurgencia_Epistemológica.pdf
18529874	10.5281/zenodo.18529874	TEKTRON	LA GEOMETRÍA DEL DESPOJO	b30a532b1063182015bbc1e4ce48817d0613d7c15b6e9f1eec76a8b9b4a4ad46	353971	corpus/andamiaje_propio/zenodo/18529874/18529874_LA_GEOMETRÍA_DEL_DESPOJO.pdf
18655577	10.5281/zenodo.18655577	TEKTRON	TEKTRON IA de Borde como Insurgencia Epistemológica	d879f5045bbb3c140e786103e9f1900c2b389955cd2f9f75baa6ab7ef3c60e10	230924	corpus/andamiaje_propio/zenodo/18655577/18655577_TEKTRON_IA_de_Borde_como_Insurgencia_Epistemológica.pdf
18655897	10.5281/zenodo.18655897	TEKTRON	La ofensiva del nombre: Anáhuac	019d36c1fb436b78f0c4749daa579a95dc4ff8e70ec63dd15caa67e918410e40	153543	corpus/andamiaje_propio/zenodo/18655897/18655897_La_ofensiva_del_nombre_Anáhuac.pdf
18707186	10.5281/zenodo.18707186	TEKTRON	Indio Yori – Teroyokori – Negro	d16dac97b4c68ecf3a4d92eb2e9901955ccbaf47d78da7244741cb3d40872c2b	164184	corpus/andamiaje_propio/zenodo/18707186/18707186_Indio_Yori_Teroyokori_Negro.pdf
19639576	10.5281/zenodo.19639576	TEKTRON	El fetiche y la herida	90595e737e1e22a187f6a67f56b913810829e21f1ef6d29267d5663f2e0ea0b9	70928	corpus/andamiaje_propio/zenodo/19639576/19639576_El_fetiche_y_la_herida.pdf
21500777	10.5281/zenodo.21500777	TEKTRON	El Grafo de la Aniquilación	30a46433e0e16ed10dfec04e6e5e6dd580dba16f5c4cbddb3c066cee8ed4c3b2	95521	corpus/andamiaje_propio/zenodo/21500777/21500777_El_Grafo_de_la_Aniquilación.pdf
